step,train_acc,valid_acc
0,0.5714285969734192,0.650602400302887
1,0.5714285969734192,0.650602400302887
2,0.5980810523033142,0.650602400302887
3,0.7324094176292419,0.6385542154312134
4,0.7654584646224976,0.650602400302887
5,0.858208954334259,0.6325300931930542
6,0.9104477763175964,0.6385542154312134
7,0.9328358173370361,0.626505970954895
8,0.943496823310852,0.6385542154312134
9,0.9605544209480286,0.626505970954895
