step,Acc
0,0.5335999727249146
1,0.6590999960899353
2,0.6668999791145325
3,0.7522000074386597
4,0.7563999891281128
5,0.7773999571800232
6,0.8095999956130981
7,0.7924999594688416
8,0.7457000017166138
9,0.8265999555587769
10,0.8102999925613403
11,0.823699951171875
12,0.8241999745368958
13,0.8230999708175659
14,0.8420000076293945
15,0.8477999567985535
16,0.8407999873161316
17,0.8428999781608582
18,0.8562999963760376
19,0.8560000061988831
20,0.8621999621391296
21,0.8565999865531921
22,0.8592000007629395
23,0.866599977016449
24,0.8601999878883362
25,0.8515999913215637
26,0.8628999590873718
27,0.8758999705314636
28,0.8578000068664551
29,0.8672999739646912
30,0.85999995470047
31,0.8708999752998352
32,0.8757999539375305
33,0.8729999661445618
34,0.8768999576568604
35,0.8730999827384949
36,0.875499963760376
37,0.8844999670982361
38,0.8798999786376953
39,0.8815000057220459
40,0.8766999840736389
41,0.8815999627113342
42,0.878600001335144
43,0.8807999491691589
44,0.8841999769210815
45,0.8732999563217163
46,0.8831999897956848
47,0.878600001335144
48,0.8871999979019165
49,0.887499988079071
50,0.8829999566078186
51,0.8860999941825867
52,0.8824999928474426
53,0.887499988079071
54,0.8880999684333801
55,0.8859999775886536
56,0.886199951171875
57,0.8877999782562256
58,0.8858000040054321
59,0.8894999623298645
60,0.885699987411499
61,0.8877999782562256
62,0.8831999897956848
63,0.8878999948501587
64,0.8852999806404114
65,0.8866999745368958
66,0.8903999924659729
67,0.8888999819755554
68,0.8872999548912048
69,0.8926999568939209
70,0.8912999629974365
71,0.8906999826431274
72,0.8931999802589417
73,0.8912999629974365
74,0.8901999592781067
75,0.8886999487876892
76,0.8934999704360962
77,0.8921999931335449
78,0.885699987411499
79,0.8860999941825867
80,0.8930999636650085
81,0.8924999833106995
82,0.8916999697685242
83,0.8912000060081482
84,0.8886999487876892
85,0.8895999789237976
86,0.88919997215271
87,0.8903999924659729
88,0.8884999752044678
89,0.8917999863624573
90,0.8934999704360962
91,0.8902999758720398
92,0.8908999562263489
93,0.8910999894142151
94,0.8930000066757202
95,0.8962999582290649
96,0.8947999477386475
97,0.8944000005722046
98,0.8921999931335449
99,0.8934999704360962
100,0.8910999894142151
101,0.8928999900817871
102,0.8962000012397766
103,0.8930000066757202
104,0.8919000029563904
105,0.8937999606132507
106,0.8956999778747559
107,0.8940999507904053
108,0.8955000042915344
109,0.8932999968528748
110,0.8916999697685242
111,0.8930000066757202
112,0.8937000036239624
113,0.8922999501228333
114,0.8930000066757202
115,0.8933999538421631
116,0.8935999870300293
117,0.8934999704360962
118,0.892799973487854
119,0.8931999802589417
120,0.8937000036239624
121,0.8916999697685242
122,0.8944999575614929
123,0.8922999501228333
124,0.8941999673843384
125,0.8932999968528748
126,0.8931999802589417
127,0.8941999673843384
128,0.8937999606132507
129,0.8946999907493591
130,0.8935999870300293
131,0.8934999704360962
132,0.8950999975204468
133,0.8939999938011169
134,0.8947999477386475
135,0.8928999900817871
136,0.8940999507904053
137,0.8938999772071838
138,0.8940999507904053
139,0.8924999833106995
140,0.8925999999046326
141,0.8921999931335449
142,0.8915999531745911
143,0.892799973487854
144,0.8931999802589417
145,0.892799973487854
146,0.8931999802589417
147,0.8937999606132507
148,0.8926999568939209
149,0.8933999538421631
150,0.8921999931335449
151,0.8919000029563904
152,0.8935999870300293
153,0.8939999938011169
154,0.8919999599456787
155,0.8931999802589417
156,0.8926999568939209
157,0.8928999900817871
158,0.8932999968528748
159,0.8937999606132507
160,0.8934999704360962
161,0.8939999938011169
162,0.8924999833106995
163,0.8931999802589417
164,0.8933999538421631
165,0.8941999673843384
166,0.8921999931335449
167,0.8931999802589417
168,0.8932999968528748
169,0.8946999907493591
170,0.8942999839782715
171,0.8948999643325806
172,0.8937999606132507
173,0.8925999999046326
174,0.8938999772071838
175,0.8934999704360962
176,0.8930999636650085
177,0.8930000066757202
178,0.8921999931335449
179,0.8930999636650085
180,0.8934999704360962
181,0.8944999575614929
182,0.8944999575614929
183,0.8938999772071838
184,0.8930000066757202
185,0.8926999568939209
186,0.8930000066757202
187,0.8930999636650085
188,0.8923999667167664
189,0.8925999999046326
190,0.8937999606132507
191,0.8916999697685242
192,0.8935999870300293
193,0.8930000066757202
194,0.8933999538421631
195,0.8937999606132507
196,0.8940999507904053
197,0.8921999931335449
198,0.8926999568939209
199,0.8928999900817871
